week_starting_date,sales,bing_brand_search_clicks,bing_brand_search_spend,blackfriday_dummy,covid_trend,google_brand_search_clicks,google_brand_search_imp,google_brand_search_spend,google_display_clicks,google_display_imp,google_display_spend,google_nonbrand_search_clicks,google_nonbrand_search_imp,google_nonbrand_search_spend,google_video_clicks,google_video_imp,google_video_spend,gwp_units_distributed,launch_fragrance_trend,launch_makeup_trend,launch_skincare_trend,market_sales,mothersday_dummy,nongoogle_display_spend,nongoogle_video_spend,pinterest_awareness_imp,pinterest_awareness_spend,pinterest_conversion_imp,pinterest_conversion_spend,print_coop_spend,print_pure_spend,samples_quantity_distributed,snap_awareness_imp,snap_awareness_spend,snap_conversion_imp,snap_conversion_spend,tiktok_awareness_imp,tiktok_awareness_spend,tv_coop_spend,tv_pure_imp,tv_pure_spend,vday_dummy,xmas_dummy,youtube_video_spend,fbig_spend,fbig_imp,youtube_video_imp,outdoor_impressions,outdoor_spend
2019-08-12,9260269.502,1841.37687,5839.78982,0,0.0,3433.720807,72267.11775,4085.242577,1195.658842,1136390.716,5738.982878,5801.257432,132384.3159,11724.08012,147.090259,43957.08717,798.4159616,0,0.0,7.923378936,7.277338409,271317513.3,0,0.0,5760.532349,0.0,0.0,0.0,0.0,21797.25518,0.0,541877,0.0,0.0,0.0,0.0,0.0,0.0,145949.9304,0.0,0.0,0,0,7613.41414,31541.16392,10115126.47,830348.437,0.0,0.0
2019-08-19,8989828.542,2448.244324,6606.633578,0,0.0,3897.451474,76505.43108,4621.69044,1140.610093,1292011.329,6518.292234,5604.403103,132522.5983,11559.18489,219.7546086,123713.9176,1528.267764,0,0.0,9.063756086,6.42002647,352047455.0,0,0.0,5760.532349,0.0,0.0,0.0,0.0,9508.365112,269579.6434,359922,0.0,0.0,0.0,0.0,0.0,0.0,145949.9304,0.0,0.0,0,0,7578.015524,32550.92747,10080579.12,753574.6781,0.0,0.0
2019-08-26,11458412.84,2003.166222,7313.212376,0,0.0,3380.433618,68991.05656,5115.979769,1936.835207,1676861.101,8668.469654,5866.435151,132371.9849,12022.58967,200.3774487,217347.8772,2257.665777,5604,0.0,9.563076732,4.621763927,359328829.6,0,0.0,0.0,0.0,0.0,0.0,0.0,11872.30063,49267.28295,780186,0.0,0.0,0.0,0.0,0.0,0.0,9867.680496,0.0,0.0,0,0,18806.79982,52784.42676,9932985.085,1911183.602,0.0,0.0
2019-09-02,8988057.938,1876.630581,7181.671967,0,0.0,3095.50129,55923.80456,5023.960279,2248.631325,1948714.727,10114.47414,5158.288036,127456.7922,10624.22372,676.8794256,700924.279,6105.542839,0,0.0,9.509611606,4.793163155,276574065.6,0,0.0,5760.532349,0.0,0.0,0.0,0.0,15877.16976,0.0,269382,0.0,0.0,0.0,0.0,0.0,0.0,138147.527,0.0,0.0,0,0,42044.42121,40161.97387,10354802.89,4101108.377,0.0,0.0
2019-09-09,9665573.191,1702.880148,4397.409415,0,0.0,2178.609316,45656.99256,3076.221016,3243.031939,3909142.948,20399.65849,5082.540957,122372.9301,10622.73079,2334.507375,2183822.212,18822.79747,0,0.0,10.25781928,4.101393637,300539916.2,0,0.0,13989.86427,0.0,0.0,0.0,0.0,15972.86443,91388.93241,246753,0.0,0.0,0.0,0.0,0.0,0.0,138147.527,0.0,0.0,0,0,82304.089,39481.06626,9134393.909,7846668.045,0.0,0.0
2019-09-16,9216226.329,1452.326988,5103.037622,0,0.0,2511.544154,51996.40657,3569.845356,3047.05839,4176320.953,21515.33095,5144.195556,125969.5952,10668.61503,2571.877583,1962573.801,16895.45861,0,0.0,10.24263689,4.598828476,315704625.8,0,0.0,13989.86427,0.0,0.0,0.0,0.0,4452.062327,0.0,411483,0.0,0.0,0.0,0.0,0.0,0.0,138147.527,0.0,0.0,0,0,90350.77935,47394.17548,8910809.624,7851876.535,0.0,0.0
2019-09-23,7296708.964,1834.452034,5452.34524,0,0.0,2511.544154,48450.8267,3814.204553,3789.555925,5972474.897,28637.48244,5110.725916,122520.0203,10761.78394,2078.200396,1785880.526,16548.11535,0,0.0,9.985121091,5.14899924,317326399.1,0,0.0,8229.331926,0.0,0.0,0.0,0.0,590.3839844,0.0,355519,0.0,0.0,0.0,0.0,0.0,0.0,128279.8464,0.0,0.0,0,0,100171.7729,45551.63882,6922987.152,7746669.892,0.0,0.0
2019-09-30,10761945.16,2092.559561,7459.930767,0,0.0,3430.197687,58163.62809,5218.617062,7339.099302,5325495.31,26884.97081,5035.419227,121941.7882,10561.33602,1201.383912,657629.098,6857.227628,0,0.0,10.21541464,4.391484174,287738198.5,0,27773.99524,0.0,0.0,0.0,0.0,0.0,37200.52186,14255.8612,629710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,43809.32443,39598.59965,6257458.254,4541012.564,0.0,0.0
2019-10-07,10128820.43,2095.707213,8053.439582,0,0.0,3903.176544,64240.12927,5633.807943,10408.17719,5542195.814,29697.50955,5136.268536,126259.8122,10709.18375,857.8797144,439252.0294,4585.20076,0,0.0,9.000644774,4.479736514,288933437.3,0,27773.99524,41146.65963,0.0,0.0,0.0,0.0,43502.90213,184237.3499,908493,0.0,0.0,0.0,0.0,0.0,0.0,74947.26153,0.0,0.0,0,0,30692.41321,39583.24931,5913265.214,3370293.517,0.0,0.0
2019-10-14,10579812.07,2010.091058,7247.785266,0,0.0,3946.334764,68344.56404,5070.210037,3935.325014,4241440.542,21728.37934,3853.412475,98522.72898,8031.229433,715.1933553,381065.0606,3689.945531,576,0.0,8.615083246,4.757475151,302209412.6,0,27773.99524,41146.65963,0.0,0.0,0.0,0.0,31620.34277,34503.70427,515410,0.0,0.0,0.0,0.0,0.0,0.0,74947.26153,0.0,0.0,0,0,29727.62017,38817.12801,6191308.415,3368458.788,0.0,0.0
